DateID;Year;MonthNum;Month;Week
1;2025;1;January;1
2;2025;1;January;2
3;2025;1;January;3
4;2025;1;January;4
5;2025;1;January;5
6;2025;2;February;1
7;2025;2;February;2
8;2025;2;February;3
9;2025;2;February;4
10;2025;2;February;5
11;2025;3;March;1
12;2025;3;March;2
13;2025;3;March;3
14;2025;3;March;4
15;2025;3;March;5
16;2025;4;April;1
17;2025;4;April;2
18;2025;4;April;3
19;2025;4;April;4
20;2025;4;April;5
21;2025;5;May;1
22;2025;5;May;2
23;2025;5;May;3
24;2025;5;May;4
25;2025;5;May;5
26;2025;6;June;1
27;2025;6;June;2
28;2025;6;June;3
29;2025;6;June;4
30;2025;6;June;5
31;2025;7;July;1
32;2025;7;July;2
33;2025;7;July;3
34;2025;7;July;4
35;2025;7;July;5
36;2025;8;August;1
37;2025;8;August;2
38;2025;8;August;3
39;2025;8;August;4
40;2025;8;August;5
41;2025;9;September;1
42;2025;9;September;2
43;2025;9;September;3
44;2025;9;September;4
45;2025;9;September;5
46;2025;10;October;1
47;2025;10;October;2
48;2025;10;October;3
49;2025;10;October;4
50;2025;10;October;5
51;2025;11;November;1
52;2025;11;November;2
53;2025;11;November;3
54;2025;11;November;4
55;2025;11;November;5
56;2025;12;December;1
57;2025;12;December;2
58;2025;12;December;3
59;2025;12;December;4
60;2025;12;December;5
61;2026;1;January;1
62;2026;1;January;2
63;2026;1;January;3
64;2026;1;January;4
65;2026;1;January;5
66;2026;2;February;1
67;2026;2;February;2
68;2026;2;February;3
69;2026;2;February;4
70;2026;2;February;5
71;2026;3;March;1
72;2026;3;March;2
73;2026;3;March;3
74;2026;3;March;4
75;2026;3;March;5
76;2026;4;April;1
77;2026;4;April;2
78;2026;4;April;3
79;2026;4;April;4
80;2026;4;April;5
81;2026;5;May;1
82;2026;5;May;2
83;2026;5;May;3
84;2026;5;May;4
85;2026;5;May;5
86;2026;6;June;1
87;2026;6;June;2
88;2026;6;June;3
89;2026;6;June;4
90;2026;6;June;5
91;2026;7;July;1
92;2026;7;July;2
93;2026;7;July;3
94;2026;7;July;4
95;2026;7;July;5
96;2026;8;August;1
97;2026;8;August;2
98;2026;8;August;3
99;2026;8;August;4
100;2026;8;August;5
101;2026;9;September;1
102;2026;9;September;2
103;2026;9;September;3
104;2026;9;September;4
105;2026;9;September;5
106;2026;10;October;1
107;2026;10;October;2
108;2026;10;October;3
109;2026;10;October;4
110;2026;10;October;5
111;2026;11;November;1
112;2026;11;November;2
113;2026;11;November;3
114;2026;11;November;4
115;2026;11;November;5
116;2026;12;December;1
117;2026;12;December;2
118;2026;12;December;3
119;2026;12;December;4
120;2026;12;December;5
